ranking_date,rank,name,title,country,rating,gamesbirth_year,
27-07-00,1,"Kasparov, Garry",g,RUS,2849,35,1963
27-07-00,2,"Kramnik, Vladimir",g,RUS,2770,23,1975
27-07-00,3,"Anand, Viswanathan",g,IND,2762,23,1969
27-07-00,4,"Morozevich, Alexander",g,RUS,2756,28,1977
27-07-00,5,"Adams, Michael",g,ENG,2755,38,1971
27-07-00,6,"Shirov, Alexei",g,ESP,2746,33,1972
27-07-00,7,"Leko, Peter",g,HUN,2743,29,1979
27-07-00,8,"Ivanchuk, Vassily",g,UKR,2719,10,1969
27-07-00,9,"Topalov, Veselin",g,BUL,2707,11,1975
27-07-00,10,"Krasenkow, Michal",g,POL,2702,61,1963
27-07-00,11,"Bareev, Evgeny",g,RUS,2702,17,1966
27-07-00,12,"Karpov, Anatoly",g,RUS,2699,11,1951
27-10-00,93,"Shabalov, Alexander",g,USA,2599,19,1967
27-10-00,94,"Giorgadze, Giorgi",g,GEO,2599,0,1964
27-10-00,95,"Kuzmin, Alexey",g,RUS,2598,9,1963
27-10-00,96,"Aleksandrov, Aleksej",g,BLR,2597,5,1973
27-10-00,97,"Lutz, Christopher",g,GER,2595,0,1971
27-10-00,98,"Sasikiran, Krishnan",g,IND,2594,23,1981
27-10-00,99,"Iordachescu, Viorel",g,MDA,2594,0,1977
27-10-00,100,"Rozentalis, Eduardas",g,LTU,2593,17,1963
27-01-01,1,"Kasparov, Gary",g,RUS,2849,0,1963
27-01-01,2,"Anand, Viswanathan",g,IND,2790,16,1969
27-01-01,3,"Kramnik, Vladimir",g,RUS,2772,0,1975
27-01-01,4,"Adams, Michael",g,ENG,2746,35,1971
27-04-01,71,"Vladimirov, Evgeny",g,KAZ,2612,0,1957
27-04-01,72,"Sasikiran, Krishnan",g,IND,2611,15,1981
27-04-01,73,"Aleksandrov, Aleksej",g,BLR,2610,0,1973
